Project_ID,Sprint_ID,US_ID,Tarefas_IDS,LLM Model,NFR Base,NFR LLM,True Positive,False Positive,False Negative,Precision,Recall,F-measure,,,,,,
P05,S01,US01,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13,"gpt-4,1-mini",3,8,3,5,0,"0,38",1,"0,55",,,,,,
P05,S01,US02,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S01,US03,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",2,7,2,5,0,"0,29",1,"0,44",,,,,,
P05,S01,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13 | TA14 | TA15 | TA16 | TA17 | TA18,"gpt-4,1-mini",5,8,4,4,1,"0,5","0,8","0,62",,,,,,
P05,S01,US05,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",2,7,2,5,0,"0,29",1,"0,44",,,,,,
P05,S01,US06,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,8,2,6,0,"0,25",1,"0,4",,,,,,
P05,S01,US07,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P05,S01,US08,TA01 | TA02,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P05,S02,US10,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S02,US11,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P05,S02,US12,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P05,S02,US13,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P05,S02,US14,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S02,US15,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P05,S02,US16,TA01,"gpt-4,1-mini",0,4,0,4,0,0,0,0,,,,,,
P05,S02,US17,TA01 | TA02,"gpt-4,1-mini",2,5,2,3,0,"0,4",1,"0,57",,,,,,
P05,S03,US18,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",1,9,0,9,1,0,0,0,,,,,,
P05,S03,US19,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13 | TA14,"gpt-4,1-mini",2,8,0,8,2,0,0,0,,,,,,
P05,S03,US20,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13,"gpt-4,1-mini",2,10,2,8,0,"0,2",1,"0,33",,,,,,
P05,S03,US21,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",4,7,3,4,1,"0,43","0,75","0,55",,,,,,
P05,S04,US22,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11,"gpt-4,1-mini",3,10,3,7,0,"0,3",1,"0,46",,,,,,
P05,S04,US23,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",2,9,2,7,0,"0,22",1,"0,36",,,,,,
P05,S04,US24,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S04,US26,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S05,US29,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S05,US30,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",1,6,0,6,1,0,0,0,,,,,,
P05,S06,US31,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13 | TA14 | TA15 | TA16 | TA17 | TA18 | TA19 | TA20 | TA21 | TA22 | TA23 | TA24 | TA25 | TA26,"gpt-4,1-mini",4,8,4,4,0,"0,5",1,"0,67",,,,,,
P05,S07,US35,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",1,7,1,6,0,"0,14",1,"0,25",,,,,,
P05,S07,US36,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",4,9,4,5,0,"0,44",1,"0,62",,,,,,
P05,S07,US37,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S08,US38,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P05,S08,US39,TA01 | TA02,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,,,,
P05,S08,US40,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P05,S08,US41,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P05,S08,US42,TA01,"gpt-4,1-mini",0,4,0,4,0,0,0,0,,,,,,
P05,S09,US43,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA08,"gpt-4,1-mini",3,9,3,6,0,"0,33",1,"0,5",,,,,,
P06,S01,US01,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",6,6,3,3,3,"0,5","0,5","0,5",,,,,,
P06,S01,US02,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,6,2,4,1,"0,33","0,67","0,44",,,,,,
P06,S01,US03,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P06,S02,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12,"gpt-4,1-mini",3,10,3,7,0,"0,3",1,"0,46",,,,,,
P06,S02,US05,TA01 | TA02 | TA03,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P06,S02,US06,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,10,3,7,0,"0,3",1,"0,46",,,,,,
P06,S02,US07,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P06,S03,US08,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P06,S03,US09,TA01 | TA02,"gpt-4,1-mini",0,7,0,7,0,0,0,0,,,,,,
P06,S03,US10,TA01 | TA02 | TA03,"gpt-4,1-mini",3,5,1,4,2,"0,2","0,33","0,25",,,,,,
P06,S03,US11,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P06,S03,US12,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",5,8,4,4,1,"0,5","0,8","0,62",,,,,,
P06,S04,US13,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P06,S05,US14,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P06,S05,US15,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P06,S05,US16,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",5,6,3,3,2,"0,5","0,6","0,55",,,,,,
P06,S05,US17,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",5,6,3,3,2,"0,5","0,6","0,55",,,,,,
P06,S06,US18,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,8,1,7,2,"0,12","0,33","0,18",,,,,,
P06,S06,US19,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11,"gpt-4,1-mini",5,8,4,4,1,"0,5","0,8","0,62",,,,,,
P06,S06,US20,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P06,S07,US21,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",4,9,4,5,0,"0,44",1,"0,62",,,,,,
P06,S07,US22,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",4,7,4,3,0,"0,57",1,"0,73",,,,,,
P07,S08,US01,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P07,S08,US02,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S09,US03,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P07,S09,US04,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S09,US05,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S09,US06,TA01 | TA02 | TA03,"gpt-4,1-mini",2,4,0,4,2,0,0,0,,,,,,
P07,S09,US07,TA01 | TA02 | TA03,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P07,S09,US08,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P07,S09,US09,TA01 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P07,S10,US09,TA02 | TA06 | TA07 | TA08,"gpt-4,1-mini",1,6,0,6,1,0,0,0,,,,,,
P07,S10,US10,TA01 | TA02,"gpt-4,1-mini",2,5,0,5,2,0,0,0,,,,,,
P07,S10,US11,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,7,1,6,1,"0,14","0,5","0,22",,,,,,
P07,S10,US12,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",4,9,3,6,1,"0,33","0,75","0,46",,,,,,
P07,S11,US13,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S11,US14,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,9,2,7,1,"0,22","0,67","0,33",,,,,,
P07,S11,US15,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,5,1,4,2,"0,2","0,33","0,25",,,,,,
P07,S12,US16,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P07,S12,US17,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P07,S12,US18,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P07,S12,US19,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P07,S12,US20,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P07,S12,US21,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",3,9,2,7,1,"0,22","0,67","0,33",,,,,,
P07,S12,US22,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P07,S13,US23,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",5,7,3,4,2,"0,43","0,6","0,5",,,,,,
P07,S13,US24,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P07,S13,US25,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P07,S13,US26,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",2,9,2,7,0,"0,22",1,"0,36",,,,,,
P07,S14,US27,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P07,S14,US28,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P07,S14,US30,TA01 | TA02 | TA03,"gpt-4,1-mini",3,4,2,2,1,"0,5","0,67","0,57",,,,,,
P07,S14,US29,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P08,S01,US01,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P08,S01,US02,TA01 | TA02 | TA03,"gpt-4,1-mini",1,6,0,6,1,0,0,0,,,,,,
P08,S01,US03,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",3,9,2,7,1,"0,22","0,67","0,33",,,,,,
P08,S01,US05,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S02,US09,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S02,US10,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,6,3,3,0,"0,5",1,"0,67",,,,,,
P08,S02,US11,TA01 | TA02 | TA03,"gpt-4,1-mini",3,5,3,2,0,"0,6",1,"0,75",,,,,,
P08,S02,US12,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P08,S03,US14,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S04,US15,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S04,US16,TA01 | TA02,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P08,S11,US16,TA03,"gpt-4,1-mini",1,5,1,4,0,"0,2",1,"0,33",,,,,,
P08,S12,US16,TA04 | TA05,"gpt-4,1-mini",2,5,1,4,1,"0,2","0,5","0,29",,,,,,
P08,S04,US17,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S04,US18,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P08,S05,US19,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S06,US24,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S06,US25,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S06,US26,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S06,US28,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P08,S06,US29,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P08,S07,US31,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S07,US32,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S07,US33,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S07,US35,TA01 | TA02,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S07,US36,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",4,9,3,6,1,"0,33","0,75","0,46",,,,,,
P08,S07,US37,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P08,S07,US38,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S07,US39,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S08,US40,TA01 | TA02,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P08,S08,US41,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,8,2,6,1,"0,25","0,67","0,36",,,,,,
P08,S09,US42,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S09,US43,TA01,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S09,US44,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,2,4,1,"0,33","0,67","0,44",,,,,,
P08,S09,US45,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S10,US50,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P08,S10,US52,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P08,S10,US53,TA01,"gpt-4,1-mini",0,3,0,3,0,0,0,0,,,,,,
P08,S11,US56,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,1,6,2,"0,14","0,33","0,2",,,,,,
P08,S11,US58,TA01,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,,,,
P08,S12,US61,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S12,US63,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P08,S12,US70,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P08,S12,US64,TA01,"gpt-4,1-mini",0,6,0,6,0,0,0,0,,,,,,
P08,S12,US68,TA01 | TA02 | TA03 | TA04 | TA05,"gpt-4,1-mini",3,6,1,5,2,"0,17","0,33","0,22",,,,,,
P08,S12,US69,TA01,"gpt-4,1-mini",1,6,1,5,0,"0,17",1,"0,29",,,,,,
P09,S01,US01,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",3,9,3,6,0,"0,33",1,"0,5",,,,,,
P09,S01,US02,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",3,7,3,4,0,"0,43",1,"0,6",,,,,,
P09,S01,US03,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P09,S01,US04,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09,"gpt-4,1-mini",4,8,3,5,1,"0,38","0,75","0,5",,,,,,
P09,S01,US05,TA01 | TA02 | TA03 | TA04,"gpt-4,1-mini",3,7,2,5,1,"0,29","0,67","0,4",,,,,,
P09,S02,US06,TA01 | TA02 | TA03 | TA04 | TA05 | TA06,"gpt-4,1-mini",2,7,2,5,0,"0,29",1,"0,44",,,,,,
P09,S02,US07,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10 | TA11 | TA12 | TA13,"gpt-4,1-mini",6,9,5,4,1,"0,56","0,83","0,67",,,,,,
P09,S03,US08,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,2,4,0,"0,33",1,"0,5",,,,,,
P10,S01,US177,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07,"gpt-4,1-mini",2,9,1,8,1,"0,11","0,5","0,18",,,,,,
P10,S02,US178,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,0,6,2,0,0,0,,,,,,
P10,S02,US181,TA01 | TA02 | TA03,"gpt-4,1-mini",2,6,1,5,1,"0,17","0,5","0,25",,,,,,
P10,S03,US182,TA01,"gpt-4,1-mini",0,3,0,3,0,0,0,0,,,,,,
P10,S03,US183,TA01 | TA02 | TA03 | TA05 | TA06 | TA07 | TA08,"gpt-4,1-mini",2,8,1,7,1,"0,12","0,5","0,2",,,,,,
P10,,US183,TA04,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P10,S03,US192,TA01 | TA02,"gpt-4,1-mini",0,5,0,5,0,0,0,0,,,,,,
P10,S04,US200,TA01 | TA02,"gpt-4,1-mini",2,5,0,5,2,0,0,0,,,,,,
P10,S05,US226,TA01 | TA02 | TA03 | TA04 | TA05 | TA06 | TA07 | TA08 | TA09 | TA10,"gpt-4,1-mini",2,9,1,8,1,"0,11","0,5","0,18",,,,,,
